2023-06-29 22:17:10.076 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'lettuceMetrics' of type [org.springframework.boot.actuate.autoconfigure.metrics.redis.LettuceMetricsAutoConfiguration$$Lambda$418/502863983] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-29 22:17:10.211 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'lettuceClientResources' of type [io.lettuce.core.resource.DefaultClientResources] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-29 22:17:10.330 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'redisConnectionFactory' of type [org.springframework.data.redis.connection.lettuce.LettuceConnectionFactory] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-29 22:17:10.343 [main] INFO  c.m.s.module.base.core.redis.config.RedisConfig:26 -  --- redis config init --- 
2023-06-29 22:17:10.413 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'redisTemplate' of type [org.springframework.data.redis.core.RedisTemplate] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-29 22:17:10.455 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'realm' of type [com.moxa.sooth.module.base.core.shiro.ShiroRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-29 22:17:10.912 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'webSecurityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-29 22:17:10.962 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-29 22:17:11.070 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker:376 - Bean 'eventBus' of type [org.apache.shiro.event.support.DefaultEventBus] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-06-29 22:17:11.625 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:108 - Tomcat initialized with port(s): 3100 (http)
2023-06-29 22:17:11.640 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Initializing ProtocolHandler ["http-nio-3100"]
2023-06-29 22:17:11.642 [main] INFO  org.apache.catalina.core.StandardService:173 - Starting service [Tomcat]
2023-06-29 22:17:11.642 [main] INFO  org.apache.catalina.core.StandardEngine:173 - Starting Servlet engine: [Apache Tomcat/9.0.60]
2023-06-29 22:17:11.781 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/sooth]:173 - Initializing Spring embedded WebApplicationContext
2023-06-29 22:17:11.782 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext:290 - Root WebApplicationContext: initialization completed in 5734 ms
2023-06-29 22:17:13.936 [main] INFO  org.quartz.impl.StdSchedulerFactory:1220 - Using default implementation for ThreadExecutor
2023-06-29 22:17:13.959 [main] INFO  org.quartz.core.SchedulerSignalerImpl:61 - Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
2023-06-29 22:17:13.961 [main] INFO  org.quartz.core.QuartzScheduler:229 - Quartz Scheduler v.2.3.2 created.
2023-06-29 22:17:13.962 [main] INFO  org.quartz.simpl.RAMJobStore:155 - RAMJobStore initialized.
2023-06-29 22:17:13.963 [main] INFO  org.quartz.core.QuartzScheduler:294 - Scheduler meta-data: Quartz Scheduler (v2.3.2) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.

2023-06-29 22:17:13.964 [main] INFO  org.quartz.impl.StdSchedulerFactory:1374 - Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
2023-06-29 22:17:13.964 [main] INFO  org.quartz.impl.StdSchedulerFactory:1378 - Quartz scheduler version: 2.3.2
2023-06-29 22:17:13.964 [main] INFO  org.quartz.core.QuartzScheduler:2293 - JobFactory set to: org.springframework.scheduling.quartz.SpringBeanJobFactory@552088cc
2023-06-29 22:17:16.709 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver:58 - Exposing 1 endpoint(s) beneath base path '/actuator'
2023-06-29 22:17:17.041 [main] INFO  org.apache.coyote.http11.Http11NioProtocol:173 - Starting ProtocolHandler ["http-nio-3100"]
2023-06-29 22:17:17.086 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer:220 - Tomcat started on port(s): 3100 (http) with context path '/sooth'
2023-06-29 22:17:17.096 [main] INFO  o.s.scheduling.quartz.SchedulerFactoryBean:729 - Starting Quartz Scheduler now
2023-06-29 22:17:17.096 [main] INFO  org.quartz.core.QuartzScheduler:547 - Scheduler quartzScheduler_$_NON_CLUSTERED started.
2023-06-29 22:17:17.125 [main] INFO  com.moxa.sooth.drive.SoothBootApplication:61 - Started SoothBootApplication in 11.957 seconds (JVM running for 12.897)
2023-06-29 22:17:30.946 [http-nio-3100-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/sooth]:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-06-29 22:17:30.949 [http-nio-3100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:525 - Initializing Servlet 'dispatcherServlet'
2023-06-29 22:17:30.955 [http-nio-3100-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet:547 - Completed initialization in 5 ms
2023-06-29 22:17:31.182 [http-nio-3100-exec-1] INFO  com.zaxxer.hikari.HikariDataSource:110 - MasterDataSource - Starting...
2023-06-29 22:17:31.312 [http-nio-3100-exec-1] INFO  com.zaxxer.hikari.HikariDataSource:123 - MasterDataSource - Start completed.
2023-06-29 22:22:41.384 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler:585 - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2023-06-29 22:22:41.442 [SpringApplicationShutdownHook] INFO  o.s.scheduling.quartz.SchedulerFactoryBean:847 - Shutting down Quartz Scheduler
2023-06-29 22:22:41.444 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler:666 - Scheduler quartzScheduler_$_NON_CLUSTERED shutting down.
2023-06-29 22:22:41.444 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler:585 - Scheduler quartzScheduler_$_NON_CLUSTERED paused.
2023-06-29 22:22:41.445 [SpringApplicationShutdownHook] INFO  org.quartz.core.QuartzScheduler:740 - Scheduler quartzScheduler_$_NON_CLUSTERED shutdown complete.
2023-06-29 22:22:41.453 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource:350 - MasterDataSource - Shutdown initiated...
2023-06-29 22:22:41.480 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource:352 - MasterDataSource - Shutdown completed.
2023-06-29 22:22:45.265 [main] INFO  com.moxa.sooth.drive.SoothBootApplication:55 - Starting SoothBootApplication using Java 1.8.0_333 on 192.168.0.196 with PID 4907 (/Users/moxa/Desktop/Projects/sooth-boot/sooth-boot-drive/target/classes started by moxa in /Users/moxa/Desktop/Projects/sooth-boot)
2023-06-29 22:22:45.271 [main] INFO  com.moxa.sooth.drive.SoothBootApplication:640 - No active profile set, falling back to 1 default profile: "default"
2023-06-29 22:22:47.330 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:262 - Multiple Spring Data modules found, entering strict repository configuration mode!
2023-06-29 22:22:47.337 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:132 - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2023-06-29 22:22:47.382 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate:201 - Finished Spring Data repository scanning in 21 ms. Found 0 Redis repository interfaces.
